카드이름,할인내용2,할인율2(%),할인내용3,할인율3(%),할인내용4,할인율4(%),할인내용5,할인율5(%),할인내용6,할인율6(%),할인내용7,할인율7(%),할인내용8,할인율8(%),할인내용9,할인율9(%)
삼성카드 taptap O,통신요금,10.0,"월 최대 3만원, 연간 36만원 할인쇼핑",1.0,커피 연 최대 12만원 할인스타벅스 50% 또는 카페,30.0,쿠팡·11번가 등 연최대 6만원할인쇼핑 7% 할인 또는,1.0,"버스, 지하철, 택시요금",10.0,,,편의점 7%할인 또는,1.0,통신요금,10.0
카드의정석 EVERY 1,온라인 신규 연회비,100.0,,,쇼핑,1.0,항공사,1.0,카페/베이커리,1.0,편의점,1.0,대형마트,1.0,온라인 신규 연회비,100.0
삼성 iD ON 카드,이동통신,10.0,커피전문점·배달앱·델리 중많이 쓰는 영역,30.0,커피전문점·배달앱·델리 중많이 쓰는 영역,30.0,스트리밍,10.0,교통,10.0,온라인 간편결제 3% ·,1.0,온라인신규회원 연회비,100.0,이동통신,10.0
신한카드 Mr.Life,신규 고객 연회비,100.0,전기·도시가스,10.0,,,SKT·KT·LG U+,10.0,이마트·롯데마트·홈플러스,10.0,"온라인쇼핑몰, 소셜커머스 10% 할인 라이프스타일 푸드 인테이크몰",20.0,택시비,10.0,신규 고객 연회비,100.0
taptap DRIVE,,,편의점,10.0,커피전문점,10.0,온라인 간편결제,1.0,온라인쇼핑몰,1.0,온라인신규회원 연회비,100.0,,,,
LOCA LIKIT 1.2,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0,,,,,,,,,,,,,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0
카드의정석 EVERY MILE SKYPASS,온라인 신규 연회비,100.0,,,,,,,,,,,,,온라인 신규 연회비,100.0
삼성 iD 달달할인 카드,,,,,,,,,,,스트리밍,50.0,온라인쇼핑몰 멤버십,50.0,,
네이버페이 taptap,네이버페이 간편결제,10.0,일상팩 커피·편의점·배달앱,5.0,,,,,,,,,,,네이버페이 간편결제,10.0
NU I&U,온라인 신규 연회비,100.0,,,,,Daily 할인대중교통,10.0,"Daily 할인스타벅스, 폴바셋",10.0,,,,,온라인 신규 연회비,100.0
LOCA 365,신규회원 연회비,100.0,"LOCA 365로 매달 나가는관리비, 공과금",10.0,이동통신비,10.0,대중교통,10.0,배달앱,10.0,보험료,10.0,학습지,10.0,신규회원 연회비,100.0
삼성 iD EV 카드,전기차 충전요금최대,70.0,주차장·대리운전,10.0,하이패스,10.0,,,배달앱,10.0,스트리밍,20.0,해외 결제건,1.0,전기차 충전요금최대,70.0
롯데 포인트플러스 카드,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0,,,6개월 슬림 할부 서비스롯데백화점 5% 현장할인롯데면세점 최대,10.0,,,,,T.G.I. FRiDAY'S10% 현장할인미스터피자,15.0,롯데월드 50% 현장할인경주월드·대전오월드·광주패밀리랜드·통도환타지아 50% 현장할인서울랜드,30.0,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0
롯데백화점 롯데카드,롯데백화점 15% 청구할인 서비스롯데백화점,5.0,롯데카드 온라인 신청 특별 혜택신규회원 연회비,100.0,,,,,,,,,,,롯데백화점 15% 청구할인 서비스롯데백화점,5.0
삼성 iD SIMPLE 카드,국내외 가맹점 최대,1.0,온라인쇼핑몰 멤버십,50.0,,,카페업종 0.7 ·,1.0,외식업종 0.7 ·,1.0,온라인신규회원 연회비,100.0,,,국내외 가맹점 최대,1.0
taptap DIGITAL,삼성페이 네이버페이 카카오페이 등온라인 간편결제,5.0,넷플릭스 웨이브 티빙 멜론 왓챠 등스트리밍,50.0,편의점,10.0,올리브영 롭스 랄라블라 등헬스&뷰티,10.0,해외 1.5% 결제일할인다이소,10.0,온라인신규회원 연회비,100.0,,,삼성페이 네이버페이 카카오페이 등온라인 간편결제,5.0
엠베스트 엘리하이 삼성카드,,,,,,,,,,,,,,,,
KB국민 청춘대로 톡톡카드,온라인신규신청 연회비,100.0,"스타벅스 최대60% 할인간편결제(Pay) 이용 시,카페/베이커리",10.0,"버거/패스트푸드 최대 30% 할인!간편결제(Pay) 이용 시,외식업종",10.0,3대 통신사 통신요금,10.0,"버스, 지하철, 택시",10.0,간편결제(Pay) 이용 시,10.0,간편결제(Pay) 이용 시,10.0,온라인신규신청 연회비,100.0
KB국민 굿데이카드,,,,,이용 시,10.0,이용 시,10.0,모든 약국 업종 이용시,10.0,학원부터 독서실 업종까지,10.0,커피전문점 이용 시,10.0,,
KB국민 톡톡Pay카드,온라인신규신청 연회비,100.0,이용시 모든 결제금액 최대,40.0,,,,,간편결제 사용시 최대,40.0,간편결제 사용시 최대,40.0,간편결제 사용시 최대,40.0,온라인신규신청 연회비,100.0
NU Uniq,온라인 신규 연회비,100.0,,,,,,,,,,,,,온라인 신규 연회비,100.0
신세계이마트 삼성카드 7,신세계백화점,5.0,업종별 최대,3.0,,,,,,,,,,,신세계백화점,5.0
롯데월드카드 (삼성카드),,,온라인서점,7.0,롯데월드 입장권 2인 50% 할인롯데월드 연간이용권 최대 25% 할인롯데월드 기타서비스 최대 50% 할인롯데월드직영기념품샵,10.0,온라인쇼핑몰 7% 결제일할인신선식품 배송,7.0,배달앱,7.0,모든 주유소,7.0,아파트관리비,7.0,,
삼성카드 & MILEAGE PLATINUM(스카이패스),,,,,,,,,,,,,,,,
I’m YOLO 플래티넘 카드,롯데카드 온라인신청 특별혜택신규회원 연회비,100.0,,,,,,,,,,,,,롯데카드 온라인신청 특별혜택신규회원 연회비,100.0
삼성 iD PET 카드,동물병원,30.0,반려동물쇼핑몰,30.0,온라인 간편결제,5.0,손해보험,10.0,스트리밍,10.0,,,,,동물병원,30.0
삼성카드 taptap S,모든 가맹점,1.0,,,,,,,,,,,,,모든 가맹점,1.0
MY S-OIL 삼성카드,S-OIL,10.0,,,스타벅스 DT,30.0,고속도로 통행료,10.0,주차장·대리운전,10.0,,,,,S-OIL,10.0
CJ삼성iD카드,CJ온스타일,7.0,올리브영,10.0,뚜레쥬르,10.0,VIPS 20% 할인배달앱,5.0,,,티빙 이용료 정기결제 시,30.0,이동통신요금 정기결제 시,5.0,CJ온스타일,7.0
삼성 iD EDU 카드,학원·인터넷강의·학습지,10.0,,,온라인쇼핑몰 멤버십,50.0,배달앱,5.0,,,,,,,학원·인터넷강의·학습지,10.0
삼성 iD ENERGY 카드,"주유 건별 10,000원 결제일할인전기차 충전요금",10.0,버스·지하철·택시,10.0,주차장·대리운전,10.0,고속도로 통행료,10.0,스타벅스 DT,30.0,온라인신규회원 연회비,100.0,,,"주유 건별 10,000원 결제일할인전기차 충전요금",10.0
KB국민 My WE:SH 카드,온라인신규신청 연회비,100.0,KB Pay,10.0,"GS25, CU 최대",20.0,패밀리레스토랑등 음식점 최대20%할인배달의민족등 배달앱 최대,15.0,"SKT,KT,LGU+등",10.0,택시,5.0,"넷플릭스, 티빙 등 OTT",30.0,온라인신규신청 연회비,100.0
LOCA Mobility 반띵 카드,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0,"LOCA로 대중교통 반띵!버스, 지하철",50.0,LOCA로 미용실도 반띵!미용실 가맹점,50.0,LOCA로 온라인쇼핑도 반띵!쿠팡 위메프 등 50% 결제일 할인LOCA로 멤버십도 반띵!쇼핑 멤버십,50.0,"LOCA로 스트리밍도 반띵!넷플릭스,유튜브 등",50.0,LOCA로 커피도 반띵!스타벅스,50.0,,,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0
삼성 iD AUTO 카드,,,하이패스,10.0,주차장·대리운전,10.0,,,,,,,,,,
LOCA 나누기 카드,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0,,,,,,,,,,,,,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0
아시아나 삼성애니패스플래티늄,,,,,,,,,,,,,,,,
LOCA LIKIT,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0,LOCA LIKIT으로롯데시네마·CGV,50.0,"LOCA LIKIT으로시내버스, 지하철",10.0,LOCA LIKIT으로이동통신,10.0,LOCA LIKIT으로배달앱,5.0,LOCA LIKIT으로스타벅스 최대,60.0,,,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0
국민행복 삼성카드 V2,,,백화점·할인점·온라인쇼핑몰 등쇼핑,7.0,산후조리원,7.0,학원·학습지·온라인서점어린이집·유치원,7.0,주유,7.0,아파트 관리비·도시가스요금·전기요금자동납부 연결 시,7.0,통신 자동납부 연결시,7.0,,
네이버웹툰 삼성 iD 카드,네이버디지털콘텐츠/네이버플러스멤버십50% 네이버페이 포인트 적립해외,1.0,네이버페이로 결제 시국내가맹점,1.0,온라인쇼핑몰,5.0,커피전문점,5.0,배달앱,5.0,,,,,네이버디지털콘텐츠/네이버플러스멤버십50% 네이버페이 포인트 적립해외,1.0
